sensor,dt_deg,Bx_G,By_G,Bz_G,normB_G
A,45,72.6624653853,-0.920801558683,0.756034162155,72.6722322420
B,45,26.8287206462,7.18242211886,3.88060496835,28.0432974866
C,45,-99.1116384942,1.56189025475,-1.10625655285,99.1301174706
N,45,-0.471083947507,-4.09115701609,-2.01980674945,4.58684042899
